questionType,asin,answerTime,unixTime,question,answerType,answer
yes/no,B00000K4MC,4-Nov-14,1415088000,Will it work with Windows 8?,Y,"You should look here: http://steamcommunity.com/sharedfiles/filedetails/?id=282196403 After the game was rereleased on Steam, a Windows 8 user wrote a Steam guide on how to fix it to work on Windows 8. Note that this is done for the Steam edition. It's almost the same as the disc version, but instead of being under Steam&gt;Steamapps&gt;common it would be under its own little folder in Program Files, or under a Microprose folder."
yes/no,B00000K4MC,29-Nov-14,1417248000,Will it work on Windows 7 ?,Y,Yes
yes/no,B00000K4MC,16-Aug-14,1408172400,Is there a digital download of this game?,?,You can buy rollercoaster tycoon Deluxe which includes RollerCoaster Tycoon and its two expansions: Corkscrew Follies and Loopy Landscapes for 6 bucks as a digital download off of Steam.
yes/no,B00000K4MC,5-Mar-15,1425542400,will this work on a mac,?,Sorry to tell you Terresa it won't play
yes/no,B00000K4MC,24-Dec-14,1419408000,I have a new computer with the latest greatest everything...will this game still play on it?,Y,this game plays on my lap top just fine ...if ur system is beyond great as u say ...then it should play........merry christmas
yes/no,B00000K4MC,31-Jul-14,1406790000,Will it work with MacBook ?,N,"No, RCT is an .exe game that only runs on Windows."
yes/no,B00000K4MC,25-May-14,1401001200,will this game work with windows vista?,Y,Yes!
yes/no,B00000K4MC,7-Jun-14,1402124400,Will this game work on a windows 7 laptop?,Y,"yes, I have a laptop w/ w7 and it works"
yes/no,B00000K4MC,4-Nov-14,1415088000,Will it work with Windows 8?,Y,"You should look here: http://steamcommunity.com/sharedfiles/filedetails/?id=282196403 After the game was rereleased on Steam, a Windows 8 user wrote a Steam guide on how to fix it to work on Windows 8. Note that this is done for the Steam edition. It's almost the same as the disc version, but instead of being under Steam&gt;Steamapps&gt;common it would be under its own little folder in Program Files, or under a Microprose folder."
yes/no,B00000K4MC,29-Nov-14,1417248000,Will it work on Windows 7 ?,Y,Yes
yes/no,B00000K4MC,16-Aug-14,1408172400,Is there a digital download of this game?,?,You can buy rollercoaster tycoon Deluxe which includes RollerCoaster Tycoon and its two expansions: Corkscrew Follies and Loopy Landscapes for 6 bucks as a digital download off of Steam.
yes/no,B00000K4MC,5-Mar-15,1425542400,will this work on a mac,?,Sorry to tell you Terresa it won't play
yes/no,B00000K4MC,24-Dec-14,1419408000,I have a new computer with the latest greatest everything...will this game still play on it?,Y,this game plays on my lap top just fine ...if ur system is beyond great as u say ...then it should play........merry christmas
yes/no,B00000K4MC,31-Jul-14,1406790000,Will it work with MacBook ?,N,"No, RCT is an .exe game that only runs on Windows."
yes/no,B00000K4MC,25-May-14,1401001200,will this game work with windows vista?,Y,Yes!
yes/no,B00000K4MC,7-Jun-14,1402124400,Will this game work on a windows 7 laptop?,Y,"yes, I have a laptop w/ w7 and it works"
yes/no,B00001LDBZ,17-May-14,1400310000,Will this work on Windows 8.1?,?,"8.1? I do not know. It *just about* works on Vista - meaning that some of the tables appear stretched. It came out before wide screen monitors, so it's video driver might have issues with proper scaling/aspect ratio. Plays fine on Vista though."
open-ended,B00001LDBZ,26-May-14,1401087600,how many different machines?,,There are 7 tables.
yes/no,B00001LDBZ,15-Jun-14,1402815600,Will it play on a Windows 7 64bit OS?,Y,"Yes, this is an awsome game if you like pinball."
yes/no,B00001LDBZ,15-Mar-15,1426402800,"Does this game work on windows 7, if so, do you loose any controls, graffics or sound quality because I it wasn't made originally for windows 7+",?,"I will work, there were others that have asked this question, in almost the same fashion as you have asked. I run this on Vista 64 and it does fine. You don't loose anything, and I think I've read it also works on Win8 too. You can still use the keyboard commands for it, though its biggest issue is some of the games have sticky key issues, making it difficult to play them, and that is a quirk of the game that was never corrected as far as I know."
open-ended,B00001LDBZ,22-Nov-14,1416643200,What machines are included? I know seven tables are included.,,"A boxing-themed pinball machine, Spirit of (19)'76' Haunted House, etc. Gottleib manufacturers."
yes/no,B00001LDBZ,18-Aug-14,1408345200,Does it work with windows 7?,Y,"Yes but I wouldn't buy it if I were you. Check out The Pinball Arcade now available on all platforms, It's amazing!! There are about 50 different classic tables and they play great. Check out www.pinballarcade.com. You'll love it."
yes/no,B00001LDBZ,18-Jul-14,1405666800,will it work on my PC that is running window 7?,Y,"If you looked at previous questions and the answers that were given, it appears to work on Vista, 7, 8, and 8.1. I have it on CD, and know it works on Vista just fine on my older non widescreen monitor, however it's still notorious for the dreaded stuck key situation on some games, meaning the key commands for the flippers sometimes stick."
yes/no,B00001LDBZ,30-Jun-14,1404111600,Will it work on Windows XP?,Y,Yes.
yes/no,B00001LDBZ,25-Jun-14,1403679600,does this game works on windows 7 vista hp laptop and windows 7 hp laptop computers let me know right away please and thank you,?,"I really don't know, I do know it works on Vista, though I currently not gotten it reinstalled when I had to reinstall Vista over a year ago. I would imagine it might install on Win7 and work fine, unless there is a significant difference internally between Vista and Win7. I should note that I often played it on a standard aspect ratio monitor instead of my widescreen monitor (in dual screen mode) and it did fine. After all, it IS a Microsoft product so getting it to work on later OS may be easier than some others if you have issues initially as there is a make compatible mode for such older programs in newer OS'."
yes/no,B00001LDBZ,10-Jun-14,1402383600,Does it play on a Windows 7 OS?,Y,Yes
yes/no,B00001LDBZ,17-May-14,1400310000,Will this work on Windows 8.1?,?,"8.1? I do not know. It *just about* works on Vista - meaning that some of the tables appear stretched. It came out before wide screen monitors, so it's video driver might have issues with proper scaling/aspect ratio. Plays fine on Vista though."
open-ended,B00001LDBZ,26-May-14,1401087600,how many different machines?,,There are 7 tables.
yes/no,B00001LDBZ,15-Jun-14,1402815600,Will it play on a Windows 7 64bit OS?,Y,"Yes, this is an awsome game if you like pinball."
yes/no,B00001LDBZ,15-Mar-15,1426402800,"Does this game work on windows 7, if so, do you loose any controls, graffics or sound quality because I it wasn't made originally for windows 7+",?,"I will work, there were others that have asked this question, in almost the same fashion as you have asked. I run this on Vista 64 and it does fine. You don't loose anything, and I think I've read it also works on Win8 too. You can still use the keyboard commands for it, though its biggest issue is some of the games have sticky key issues, making it difficult to play them, and that is a quirk of the game that was never corrected as far as I know."
open-ended,B00001LDBZ,22-Nov-14,1416643200,What machines are included? I know seven tables are included.,,"A boxing-themed pinball machine, Spirit of (19)'76' Haunted House, etc. Gottleib manufacturers."
yes/no,B00001LDBZ,18-Aug-14,1408345200,Does it work with windows 7?,Y,"Yes but I wouldn't buy it if I were you. Check out The Pinball Arcade now available on all platforms, It's amazing!! There are about 50 different classic tables and they play great. Check out www.pinballarcade.com. You'll love it."
yes/no,B00001LDBZ,18-Jul-14,1405666800,will it work on my PC that is running window 7?,Y,"If you looked at previous questions and the answers that were given, it appears to work on Vista, 7, 8, and 8.1. I have it on CD, and know it works on Vista just fine on my older non widescreen monitor, however it's still notorious for the dreaded stuck key situation on some games, meaning the key commands for the flippers sometimes stick."
yes/no,B00001LDBZ,30-Jun-14,1404111600,Will it work on Windows XP?,Y,Yes.
yes/no,B00001LDBZ,25-Jun-14,1403679600,does this game works on windows 7 vista hp laptop and windows 7 hp laptop computers let me know right away please and thank you,?,"I really don't know, I do know it works on Vista, though I currently not gotten it reinstalled when I had to reinstall Vista over a year ago. I would imagine it might install on Win7 and work fine, unless there is a significant difference internally between Vista and Win7. I should note that I often played it on a standard aspect ratio monitor instead of my widescreen monitor (in dual screen mode) and it did fine. After all, it IS a Microsoft product so getting it to work on later OS may be easier than some others if you have issues initially as there is a make compatible mode for such older programs in newer OS'."
yes/no,B00001LDBZ,10-Jun-14,1402383600,Does it play on a Windows 7 OS?,Y,Yes
yes/no,B00001IVRD,22-Apr-14,1398150000,Does this work on Windows 8 x64?,?,It seems so: http://www.eightforums.com/gaming/4295-starcraft-1-windows-8-beautiful.html
